net,length_um
clk,337.02µm
net23,304.5µm
net17,302.385µm
net1,290.6µm
net2,240.86µm
clknet_0_clk,189.09µm
net4,167.17µm
net22,167.05µm
net3,156.49µm
net21,149.205µm
net5,143.47µm
net24,127.425µm
clknet_2_2__leaf_clk,124.385µm
net18,121.74µm
clknet_2_0__leaf_clk,115.295µm
clknet_2_1__leaf_clk,103.32µm
net19,103.08µm
net20,102.33µm
net54,92.61µm
net8,90.815µm
net7,82.88µm
clknet_2_3__leaf_clk,66.94µm
net9,65.11µm
net55,64.33µm
internal_data_reg\[0\],46.87µm
_048_,41µm
net6,37.53µm
net44,36.91µm
internal_data_reg\[6\],34.195µm
net46,31.195µm
internal_data_reg\[7\],30.465µm
net48,30.225µm
net10,29.855µm
dout[5],29.78µm
dout[6],28.82µm
net33,28.82µm
net40,28.75µm
internal_data_reg\[5\],27.235µm
internal_data_reg\[4\],26.29µm
internal_data_reg\[9\],25.79µm
dout[7],25.58µm
dout[4],24.62µm
dout[8],23.36µm
net50,23.135µm
dout[0],21.26µm
dout[10],21.26µm
dout[11],21.26µm
dout[1],21.26µm
dout[2],21.26µm
dout[9],21.26µm
dout[3],20.78µm
net31,19.52µm
net12,18.045µm
reset,17.4µm
_021_,14.865µm
net25,14.83µm
net27,14.83µm
net15,14.785µm
_025_,13.14µm
_003_,12.91µm
_029_,12.72µm
internal_data_reg\[8\],11.275µm
net39,10.98µm
net16,10.39µm
internal_data_reg\[1\],10.03µm
net49,10.03µm
_005_,9.91µm
internal_data_reg\[2\],9.91µm
_022_,9.55µm
_042_,9.55µm
_046_,9.55µm
net13,9.12µm
_036_,8.89µm
internal_data_reg\[3\],8.685µm
net57,8.53µm
_039_,8.52µm
net36,8.515µm
data_in,8.46µm
done_in,8.46µm
net56,8.42µm
_000_,8.265µm
net29,7.99µm
net11,7.445µm
net53,7.32µm
net38,7.26µm
_024_,7.15µm
_023_,7.14µm
net34,6.98µm
_013_,6.78µm
_026_,6.78µm
shift_in,6.78µm
net51,6.67µm
_047_,6.485µm
_033_,6.39µm
net14,6.315µm
_015_,6.24µm
_012_,6.19µm
net42,6.02µm
net32,5.88µm
_027_,5.53µm
_035_,5.53µm
_034_,5.47µm
_002_,5.34µm
_028_,5.34µm
_044_,5.34µm
internal_data_reg\[11\],5.155µm
_004_,4.38µm
_016_,4.38µm
internal_data_reg\[10\],3.96µm
_020_,3.9µm
_001_,3.72µm
_009_,3.72µm
_017_,3.42µm
_018_,3.42µm
net37,3.42µm
_010_,3.3µm
_011_,3.3µm
_006_,3µm
_007_,3µm
_014_,3µm
_008_,2.94µm
_019_,2.94µm
net35,2.94µm
net52,2.94µm
net41,2.58µm
_032_,2.28µm
net43,2.1µm
net45,2.1µm
_030_,1.8µm
_031_,1.8µm
_037_,1.8µm
_038_,1.8µm
_040_,1.8µm
_041_,1.8µm
_043_,1.8µm
_045_,1.8µm
net26,0.96µm
net28,0.96µm
net30,0.96µm
net47,0.96µm
