Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_43_1094,VDD,Metal1,532.5690,178.2580,1.199962
FILLER_43_1087,VDD,Metal1,529.2090,178.2580,1.199962
FILLER_43_1080,VDD,Metal1,525.8490,178.2580,1.199962
FILLER_43_1073,VDD,Metal1,522.4890,178.2580,1.199962
FILLER_43_1066,VDD,Metal1,519.1290,178.2580,1.199962
FILLER_43_1059,VDD,Metal1,515.7690,178.2580,1.199962
FILLER_43_1051,VDD,Metal1,511.2110,178.2560,1.199962
FILLER_43_1044,VDD,Metal1,508.5690,178.2580,1.199971
FILLER_43_1037,VDD,Metal1,505.2090,178.2580,1.199971
FILLER_43_1030,VDD,Metal1,501.8490,178.2580,1.199972
FILLER_43_1023,VDD,Metal1,498.4890,178.2580,1.199972
FILLER_43_1016,VDD,Metal1,495.1290,178.2580,1.199973
FILLER_43_1009,VDD,Metal1,491.7690,178.2580,1.199974
FILLER_43_1002,VDD,Metal1,488.4090,178.2580,1.199974
FILLER_43_995,VDD,Metal1,485.0490,178.2580,1.199975
FILLER_43_988,VDD,Metal1,481.6890,178.2580,1.199975
FILLER_43_981,VDD,Metal1,478.3290,178.2580,1.199976
FILLER_43_974,VDD,Metal1,474.9690,178.2580,1.199976
FILLER_43_967,VDD,Metal1,471.6090,178.2580,1.199977
FILLER_43_961,VDD,Metal1,467.5200,177.6600,1.199962
FILLER_43_954,VDD,Metal1,465.3690,178.2580,1.199962
FILLER_43_947,VDD,Metal1,462.0090,178.2580,1.199953
FILLER_43_940,VDD,Metal1,458.6490,178.2580,1.199945
FILLER_43_933,VDD,Metal1,455.2890,178.2580,1.199937
FILLER_43_926,VDD,Metal1,451.9290,178.2580,1.199928
FILLER_43_919,VDD,Metal1,448.5690,178.2580,1.199927
FILLER_43_879,VDD,Metal1,428.6510,178.2560,1.199878
FILLER_43_869,VDD,Metal1,423.3600,177.6600,1.199856
FILLER_43_827,VDD,Metal1,403.2000,177.6600,1.199935
FILLER_43_801,VDD,Metal1,390.4800,177.6600,1.199894
FILLER_43_799,VDD,Metal1,389.7600,177.6600,1.199892
FILLER_43_750,VDD,Metal1,366.7310,178.2560,1.199792
FILLER_43_718,VDD,Metal1,352.0890,178.2580,1.199795
FILLER_43_711,VDD,Metal1,348.7290,178.2580,1.199856
FILLER_43_704,VDD,Metal1,345.3690,178.2580,1.199860
FILLER_43_697,VDD,Metal1,342.0090,178.2580,1.199864
FILLER_43_683,VDD,Metal1,333.8400,177.6600,1.199912
FILLER_43_679,VDD,Metal1,332.6510,178.2560,1.199912
FILLER_43_669,VDD,Metal1,327.1200,177.6600,1.199944
FILLER_43_667,VDD,Metal1,326.4000,177.6600,1.199944
