Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_43_1094,VSS,Metal1,532.5660,180.9790,0.000025
FILLER_43_1087,VSS,Metal1,529.2060,180.9790,0.000025
FILLER_43_1080,VSS,Metal1,525.8460,180.9790,0.000025
FILLER_43_1073,VSS,Metal1,522.4860,180.9790,0.000025
FILLER_43_1066,VSS,Metal1,519.1260,180.9790,0.000025
FILLER_43_1059,VSS,Metal1,515.7660,180.9790,0.000025
FILLER_43_1051,VSS,Metal1,511.1880,181.0630,0.000023
FILLER_43_1044,VSS,Metal1,508.5660,180.9790,0.000022
FILLER_43_1037,VSS,Metal1,505.2060,180.9790,0.000021
FILLER_43_1030,VSS,Metal1,501.8460,180.9790,0.000019
FILLER_43_1023,VSS,Metal1,498.4860,180.9790,0.000018
FILLER_43_1016,VSS,Metal1,495.1260,180.9790,0.000017
FILLER_43_1009,VSS,Metal1,491.7660,180.9790,0.000016
FILLER_43_1002,VSS,Metal1,488.4060,180.9790,0.000015
FILLER_43_995,VSS,Metal1,485.0460,180.9790,0.000013
FILLER_43_988,VSS,Metal1,481.6860,180.9790,0.000012
FILLER_43_981,VSS,Metal1,478.3260,180.9790,0.000011
FILLER_43_974,VSS,Metal1,474.9660,180.9790,0.000023
FILLER_43_967,VSS,Metal1,471.6060,180.9790,0.000035
FILLER_43_961,VSS,Metal1,467.5200,181.4400,0.000077
FILLER_43_954,VSS,Metal1,465.3660,180.9790,0.000083
FILLER_43_947,VSS,Metal1,462.0060,180.9790,0.000093
FILLER_43_940,VSS,Metal1,458.6460,180.9790,0.000104
FILLER_43_933,VSS,Metal1,455.2860,180.9790,0.000115
FILLER_43_926,VSS,Metal1,451.9260,180.9790,0.000126
FILLER_43_919,VSS,Metal1,448.5660,180.9790,0.000136
FILLER_43_879,VSS,Metal1,428.6280,181.0630,0.000155
FILLER_43_869,VSS,Metal1,423.3600,181.4400,0.000141
FILLER_43_827,VSS,Metal1,403.2000,181.4400,0.000041
FILLER_43_801,VSS,Metal1,390.4800,181.4400,0.000119
FILLER_43_799,VSS,Metal1,389.7600,181.4400,0.000119
FILLER_43_750,VSS,Metal1,366.7080,181.0630,0.000217
FILLER_43_718,VSS,Metal1,352.0860,180.9790,0.000210
FILLER_43_711,VSS,Metal1,348.7260,180.9790,0.000198
FILLER_43_704,VSS,Metal1,345.3660,180.9790,0.000186
FILLER_43_697,VSS,Metal1,342.0060,180.9790,0.000174
FILLER_43_683,VSS,Metal1,333.8400,181.4400,0.000100
FILLER_43_679,VSS,Metal1,332.6280,181.0630,0.000098
FILLER_43_669,VSS,Metal1,327.1200,181.4400,0.000018
FILLER_43_667,VSS,Metal1,326.4000,181.4400,0.000018
FILLER_43_660,VSS,Metal1,324.2460,180.9790,0.000023
FILLER_43_653,VSS,Metal1,320.8860,180.9790,0.000030
FILLER_43_646,VSS,Metal1,317.5260,180.9790,0.000037
FILLER_43_639,VSS,Metal1,314.1660,180.9790,0.000044
FILLER_43_632,VSS,Metal1,310.8060,180.9790,0.000051
FILLER_43_625,VSS,Metal1,307.4460,180.9790,0.000059
FILLER_43_618,VSS,Metal1,304.0860,180.9790,0.000066
FILLER_43_611,VSS,Metal1,300.7260,180.9790,0.000073
FILLER_43_604,VSS,Metal1,297.3660,180.9790,0.000080
FILLER_43_566,VSS,Metal1,277.9200,181.4400,0.000076
FILLER_43_562,VSS,Metal1,276.4680,181.0630,0.000075
FILLER_43_555,VSS,Metal1,273.8460,180.9790,0.000071
FILLER_43_548,VSS,Metal1,270.4860,180.9790,0.000067
FILLER_43_541,VSS,Metal1,267.1260,180.9790,0.000063
FILLER_43_534,VSS,Metal1,263.7660,180.9790,0.000059
FILLER_43_527,VSS,Metal1,260.4060,180.9790,0.000055
FILLER_43_481,VSS,Metal1,236.8800,181.4400,0.000156
FILLER_43_479,VSS,Metal1,236.1600,181.4400,0.000156
FILLER_43_472,VSS,Metal1,234.0060,180.9790,0.000168
FILLER_43_465,VSS,Metal1,230.6460,180.9790,0.000189
FILLER_43_399,VSS,Metal1,197.5200,181.4400,0.000122
FILLER_43_365,VSS,Metal1,182.6460,180.9790,0.000078
FILLER_43_358,VSS,Metal1,179.2860,180.9790,0.000056
FILLER_43_287,VSS,Metal1,144.4680,181.0630,0.000064
FILLER_43_280,VSS,Metal1,141.8460,180.9790,0.000060
FILLER_43_273,VSS,Metal1,138.4860,180.9790,0.000056
FILLER_43_266,VSS,Metal1,135.1260,180.9790,0.000053
FILLER_43_259,VSS,Metal1,131.7660,180.9790,0.000049
FILLER_43_252,VSS,Metal1,128.4060,180.9790,0.000045
FILLER_43_245,VSS,Metal1,125.0460,180.9790,0.000041
FILLER_43_238,VSS,Metal1,121.6860,180.9790,0.000037
FILLER_43_231,VSS,Metal1,118.3260,180.9790,0.000034
FILLER_43_223,VSS,Metal1,113.7480,181.0630,0.000022
FILLER_43_216,VSS,Metal1,111.1260,180.9790,0.000018
FILLER_43_209,VSS,Metal1,107.7660,180.9790,0.000013
